from_id;to_id
82;0
0;131
131;9
131;79
9;92
92;96
96;60
96;4
96;116
60;30
30;48
48;34
34;29
29;81
81;14
14;28
14;87
28;115
115;40
40;69
69;38
38;33
38;105
33;50
33;36
50;23
23;127
127;47
47;83
47;61
83;106
36;97
97;62
62;42
42;31
31;24
4;87
116;111
111;77
77;86
86;37
37;1
1;49
49;12
12;16
16;63
63;2
63;100
2;102
102;113
113;10
79;59
79;15
100;20
15;70
70;78
78;94
94;74
74;22
22;123
22;53
123;98
98;71
71;43
43;80
53;118
118;64
118;85
64;13
13;117
117;8
85;3
3;51
51;121
105;126
126;17
17;112
112;128
128;91
91;18
18;68
68;90
68;107
90;54
54;130
130;32
32;72
72;65
65;122
122;93
122;11
93;76
107;19
19;5
5;55
55;35
35;108
35;119
108;129
119;26
119;21
26;95
95;6
6;66
66;103
103;101
101;39
39;120
120;57
57;25
25;45
45;73
73;88
73;75
88;124
124;84
84;41
41;56
56;67
67;27
27;110
75;7
7;114
114;52
114;58
11;44
44;104
104;89
89;46
21;99
99;125
125;109
